Título da Revista;ISSN;Homepage;Aims and Scope: ;Aims and Scope (translate);Área;Subárea;Sub-subárea;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
BIOSYSTEMS ENGINEERING;1537-5110;https://www.journals.elsevier.com/biosystems-engineering;Aims and Scope: Biological systems engineering or biosystems engineering is a broad-based engineering discipline with particular emphasis on non-medical biology. It can;Aims and Scope: Biological systems engineering or biosystems engineering is a broad-based engineering discipline with particular emphasis on non-medical biology. It can;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;3,2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIOSYSTEMS%20ENGINEERING&btnG=
BIOTECHNOLOGY AND BIOENGINEERING;0006-3592;http://www3.interscience.wiley.com/journal/117933915/grouphome/home.html;Aims and Scope: Biotechnology and Bioengineering is a monthly peer-reviewed scientific journal covering biochemical engineering that was established in 1959. In 2009,;Aims and Scope: Biotechnology and Bioengineering is a monthly peer-reviewed scientific journal covering biochemical engineering that was established in 1959. In 2009,;Ciências Agrárias;Agronomia;Agronomia;Web of Science;5,5;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIOTECHNOLOGY%20AND%20BIOENGINEERING&btnG=
BLOOD;0006-4971;https://www.sciencedirect.com/journal/blood;Aims and Scope: blue-blood, royal blood, mixed-blood and blood relative. Autotransfusion Blood as food Blood pressure Blood substitutes (&quot,artificial blood&quot,) Blood test;Aims and Scope: blue-blood, royal blood, mixed-blood and blood relative. Autotransfusion Blood as food Blood pressure Blood substitutes (&quot,artificial blood&quot,) Blood test;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BLOOD&btnG=
BRAIN MECHANISMS;3050-6433;;Aims and Scope: order to receive short pulse trains of brain stimulation. Olds and Milner discovered the reward mechanisms in the brain involved in positive reinforcement;Aims and Scope: order to receive short pulse trains of brain stimulation. Olds and Milner discovered the reward mechanisms in the brain involved in positive reinforcement;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Pesca;Web of Science;1,4;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRAIN%20MECHANISMS&btnG=
BRAIN RESEARCH BULLETIN;0361-9230;https://www.journals.elsevier.com/brain-research-bulletin;Aims and Scope: Brain Research Bulletin is a peer-reviewed scientific journal covering neuroscience. It was established in 1976 with Matthew J. Wayner (then at Syracuse;Aims and Scope: Brain Research Bulletin is a peer-reviewed scientific journal covering neuroscience. It was established in 1976 with Matthew J. Wayner (then at Syracuse;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Pesca, Ciências Veterinárias;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRAIN%20RESEARCH%20BULLETIN&btnG=
BREAST CANCER RESEARCH AND TREATMENT;0167-6806;http://springerlink.metapress.com/link.asp?id=102860;Aims and Scope: Breast Cancer Research and Treatment is a scientific journal focused on the treatment of and investigations in breast cancer. It is targeted towards a;Aims and Scope: Breast Cancer Research and Treatment is a scientific journal focused on the treatment of and investigations in breast cancer. It is targeted towards a;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;5,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BREAST%20CANCER%20RESEARCH%20AND%20TREATMENT&btnG=
BREATHE;1810-6838;https://breathe.ersjournals.com/;Aims and Scope: the air, through the lungs. Breathe, a 2005 novel by Penni Russon Breathe: A Ghost Story, a 2006 novel by Cliff McNish Breathe: Stories from Cuba, a 2016;Aims and Scope: the air, through the lungs. Breathe, a 2005 novel by Penni Russon Breathe: A Ghost Story, a 2006 novel by Cliff McNish Breathe: Stories from Cuba, a 2016;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;1,6;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BREATHE&btnG=
BRIDGE STRUCTURES;1573-2487;http://www.iospress.nl/loadtop/load.php?isbn=15732487;Aims and Scope: other loads to pass across. Most bridges consist of a flat deck, supported by beams, arches, or cables. These structures rest on a foundation that is carefully;Aims and Scope: other loads to pass across. Most bridges consist of a flat deck, supported by beams, arches, or cables. These structures rest on a foundation that is carefully;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Aplicada, Ciência e Tecnologia de Alimentos, Nutrição e Dietética, Química;Web of Science;9,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRIDGE%20STRUCTURES&btnG=
BRIEFINGS IN FUNCTIONAL GENOMICS;2041-2649;https://academic.oup.com/bfg;Aims and Scope: Briefings in Functional Genomics is a bimonthly peer-reviewed scientific journal covering genomics. It was established in 2002 as Briefings in Functional;Aims and Scope: Briefings in Functional Genomics is a bimonthly peer-reviewed scientific journal covering genomics. It was established in 2002 as Briefings in Functional;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;6,3;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRIEFINGS%20IN%20FUNCTIONAL%20GENOMICS&btnG=
BRILLS ANNUAL OF AFROASIATIC LANGUAGES AND LINGUISTICS;1876-6633;http://brill.publisher.ingentaconnect.com/content/brill/baall;Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of Brill s Journal of Afroasiatic Languages and Linguistics.;Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of Brill s Journal of Afroasiatic Languages and Linguistics.;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;7,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRILLS%20ANNUAL%20OF%20AFROASIATIC%20LANGUAGES%20AND%20LINGUISTICS&btnG=
BRITISH ACCOUNTING REVIEW;0890-8389;https://www.journals.elsevier.com/the-british-accounting-review;Aims and Scope: The British Accounting Review is an academic journal of the British Accounting and Finance Association that was established in 1969. Serving its purpose;Aims and Scope: The British Accounting Review is an academic journal of the British Accounting and Finance Association that was established in 1969. Serving its purpose;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20ACCOUNTING%20REVIEW&btnG=
BRITISH COLUMBIA MEDICAL JOURNAL;0007-0556;http://www.bcmj.org/;Aims and Scope: The British Columbia Medical Journal is a peer-reviewed general medical journal covering scientific research, review articles, and updates on contemporary;Aims and Scope: The British Columbia Medical Journal is a peer-reviewed general medical journal covering scientific research, review articles, and updates on contemporary;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;4,9;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20COLUMBIA%20MEDICAL%20JOURNAL&btnG=
BRITISH EDUCATIONAL RESEARCH JOURNAL;0141-1926;https://onlinelibrary.wiley.com/journal/14693518;Aims and Scope: The British Educational Research Association (BERA) is a membership association and learned society committed to advancing research quality, building;Aims and Scope: The British Educational Research Association (BERA) is a membership association and learned society committed to advancing research quality, building;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20EDUCATIONAL%20RESEARCH%20JOURNAL&btnG=
BRITISH FOOD JOURNAL;0007-070X;http://www.emeraldinsight.com/0007-070X.htm;Aims and Scope: consumer. British Food Journal. 100(5): 236–243. Kupiec, Beata and Revell, Brian. (2001). Measuring consumer quality judgements. British Food Journal. 103(1):;Aims and Scope: consumer. British Food Journal. 100(5): 236–243. Kupiec, Beata and Revell, Brian. (2001). Measuring consumer quality judgements. British Food Journal. 103(1):;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20FOOD%20JOURNAL&btnG=
BRITISH JOURNAL FOR THE HISTORY OF MATHEMATICS;2637-5451;https://www.tandfonline.com/toc/tbsh21/current;Aims and Scope: The British Society for the History of Mathematics (BSHM) was founded in 1971 to promote research into the history of mathematics at all levels and to;Aims and Scope: The British Society for the History of Mathematics (BSHM) was founded in 1971 to promote research into the history of mathematics at all levels and to;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20FOR%20THE%20HISTORY%20OF%20MATHEMATICS&btnG=
BRITISH JOURNAL FOR THE HISTORY OF PHILOSOPHY;0960-8788;http://www.tandfonline.com/rbjh;Aims and Scope: The British Journal for the History of Philosophy (BJHP) is a bimonthly peer-reviewed academic journal of the British Society for the History of Philosophy;Aims and Scope: The British Journal for the History of Philosophy (BJHP) is a bimonthly peer-reviewed academic journal of the British Society for the History of Philosophy;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20FOR%20THE%20HISTORY%20OF%20PHILOSOPHY&btnG=
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;0007-0882;http://bjps.oxfordjournals.org/;Aims and Scope: British Journal for the Philosophy of Science is a peer-reviewed, academic journal of philosophy, owned by the British Society for the Philosophy of Science;Aims and Scope: British Journal for the Philosophy of Science is a peer-reviewed, academic journal of philosophy, owned by the British Society for the Philosophy of Science;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;3,8;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20FOR%20THE%20PHILOSOPHY%20OF%20SCIENCE&btnG=
BRITISH JOURNAL OF AESTHETICS;0007-0904;http://bjaesthetics.oxfordjournals.org/;Aims and Scope: The British Journal of Aesthetics is a quarterly peer-reviewed academic journal covering philosophical aesthetics and the philosophy of art. It was established;Aims and Scope: The British Journal of Aesthetics is a quarterly peer-reviewed academic journal covering philosophical aesthetics and the philosophy of art. It was established;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;6,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20AESTHETICS&btnG=
BRITISH JOURNAL OF EDUCATIONAL STUDIES;0007-1005;http://www.tandfonline.com/action/aboutThisJournal?journalCode=rbje20;Aims and Scope: British Journal of Educational Studies is a peer-reviewed academic journal of educational studies established in 1952. The journal is published by Taylor;Aims and Scope: British Journal of Educational Studies is a peer-reviewed academic journal of educational studies established in 1952. The journal is published by Taylor;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;3,7;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20EDUCATIONAL%20STUDIES&btnG=
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;0007-1013;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8535;Aims and Scope: The British Journal of Educational Technology is a peer-reviewed academic journal published by Wiley on behalf of the British Educational Research Association;Aims and Scope: The British Journal of Educational Technology is a peer-reviewed academic journal published by Wiley on behalf of the British Educational Research Association;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;4,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20EDUCATIONAL%20TECHNOLOGY&btnG=
BRITISH JOURNAL OF GUIDANCE & COUNSELLING;0306-9885;https://www.tandfonline.com/toc/cbjg20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of British Journal of Guidance and Counselling.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of British Journal of Guidance and Counselling.;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;3,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20GUIDANCE%20%26%20COUNSELLING&btnG=
BRITISH JOURNAL OF HEALTH PSYCHOLOGY;1359-107X;https://bpspsychub.onlinelibrary.wiley.com/journal/20448287;Aims and Scope: The British Journal of Health Psychology is a quarterly peer-reviewed scientific journal covering health psychology. It was established in 1996, when;Aims and Scope: The British Journal of Health Psychology is a quarterly peer-reviewed scientific journal covering health psychology. It was established in 1996, when;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;3,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20HEALTH%20PSYCHOLOGY&btnG=
BRITISH JOURNAL OF HOSPITAL MEDICINE;1750-8460;;Aims and Scope: The British Journal of Hospital Medicine is a monthly peer-reviewed medical journal principally aimed at hospital-based healthcare professionals. It was;Aims and Scope: The British Journal of Hospital Medicine is a monthly peer-reviewed medical journal principally aimed at hospital-based healthcare professionals. It was;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20HOSPITAL%20MEDICINE&btnG=
BRITISH JOURNAL OF INDUSTRIAL RELATIONS;0007-1080;https://onlinelibrary.wiley.com/journal/14678543;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of British Journal of Industrial Relations.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of British Journal of Industrial Relations.;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20INDUSTRIAL%20RELATIONS&btnG=
BRITISH JOURNAL OF LEARNING DISABILITIES;1354-4187;https://onlinelibrary.wiley.com/journal/14683156;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of British Journal of Learning Disabilities.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of British Journal of Learning Disabilities.;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;1,4;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20LEARNING%20DISABILITIES&btnG=
