"Journal title","ISSN","Categorias","Indexador","Aims and Scope","Aims and Scope (translate)"
"Acm Journal On Emerging Technologies In Computing Systems","1550-4832","Computer Science, Hardware & Architecture, Engineering, Electrical & Electronic, Nanoscience & Nanotechnology","Web of Science - SCIE","ACM, the world's largest educational and scientific computing society, delivers resources that advance computing as a science and a profession. ACM provides the computing field's premier Digital Library and serves its members and the computing profession with leading-edge publications, conferences, and career resources. For more than 60 years, the best and brightest minds in computing have come to ACM to meet, share ideas, publish their work and change the world. ACM's publications are among the most respected and highly cited in the field because of their longstanding focus on quality and their ability to attract pioneering thought leaders from both academia and industry.","ACM, the world's largest educational and scientific computing society, delivers resources that advance computing as a science and a profession. ACM provides the computing field's premier Digital Library and serves its members and the computing profession with leading-edge publications, conferences, and career resources. For more than 60 years, the best and brightest minds in computing have come to ACM to meet, share ideas, publish their work and change the world. ACM's publications are among the most respected and highly cited in the field because of their longstanding focus on quality and their ability to attract pioneering thought leaders from both academia and industry."
"Acm Sigcomm Computer Communication Review","0146-4833","Computer Science, Information Systems","Web of Science - SCIE","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM SIGCOMM Computer Communication Review.","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM SIGCOMM Computer Communication Review."
"Acm Sigecom Exchanges","1551-9031","Computer Science, Interdisciplinary Applications","Web of Science - ESCI","The ACM Special Interest Group on Economics and Computation encourages research and advanced applications at the interface between economics and computer science.","The ACM Special Interest Group on Economics and Computation encourages research and advanced applications at the interface between economics and computer science."
"Acm Transactions On Accessible Computing","1936-7228","Computer Science, Interdisciplinary Applications","Web of Science - ESCI","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Accessible Computing.","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Accessible Computing."
"Acm Transactions On Algorithms","1549-6325","Computer Science, Theory & Methods, Mathematics, Applied","Web of Science - SCIE","Aims and Scope: Published by Association for Computing Machinery. Focuses on academic publications in ACM Transactions on Algorithms.","Aims and Scope: Published by Association for Computing Machinery. Focuses on academic publications in ACM Transactions on Algorithms."
"Acm Transactions On Applied Perception","1544-3558","Computer Science, Software Engineering","Web of Science - SCIE","Aims and Scope: ACM Transactions on Applied Perception (ACM TAP) is a quarterly peer-reviewed scientific journal covering interdisciplinary computer science topics relevant","Aims and Scope: ACM Transactions on Applied Perception (ACM TAP) is a quarterly peer-reviewed scientific journal covering interdisciplinary computer science topics relevant"
"Acm Transactions On Architecture And Code Optimization","1544-3566","Computer Science, Hardware & Architecture, Theory & Methods","Web of Science - SCIE","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Architecture and Code Optimization.","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Architecture and Code Optimization."
"Acm Transactions On Asian And Low-Resource Language Information Processing","2375-4699","Computer Science, Artificial Intelligence","Web of Science - SCIE","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Asian and Low-Resource Language Information Processing.","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Asian and Low-Resource Language Information Processing."
"Acm Transactions On Autonomous And Adaptive Systems","1556-4665","Computer Science, Artificial Intelligence, Information Systems, Theory & Methods","Web of Science - SCIE","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Autonomous and Adaptive Systems.","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Autonomous and Adaptive Systems."
"Acm Transactions On Computational Logic","1529-3785","Computer Science, Theory & Methods, Logic","Web of Science - SCIE","Aims and Scope: Published by Association for Computing Machinery. Focuses on academic publications in ACM Transactions on Computational Logic.","Aims and Scope: Published by Association for Computing Machinery. Focuses on academic publications in ACM Transactions on Computational Logic."
"Acm Transactions On Computation Theory","1942-3454","Computer Science, Theory & Methods","Web of Science - ESCI","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Computation Theory.","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Transactions on Computation Theory."
"Acm Transactions On Computer-Human Interaction","1073-0516","Computer Science, Cybernetics, Information Systems","Web of Science - SCIE","Aims and Scope: ACM Transactions on Computer-Human Interaction is a peer-reviewed scientific journal covering research on human–computer interaction. It was established","Aims and Scope: ACM Transactions on Computer-Human Interaction is a peer-reviewed scientific journal covering research on human–computer interaction. It was established"
